requesterId,targetId,rank
d1,s1,5
d1,s2,5
d1,s3,3
d1,s4,4
d1,s5,5
d1,d2,4
d1,d3,3
d2,s1,5
d2,s2,4
d2,s3,5
d2,s4,3
d2,d1,4
d2,d3,5
d3,s1,3
d3,s3,5
d3,s5,4
d3,d1,3
d3,d4,5
d4,s2,5
d4,s4,4
d4,s5,3
d4,d3,5
d4,d5,4
d5,s1,4
d5,s3,3
d5,s4,5
d5,d4,4
d5,d6,3
d6,s2,5
d6,s3,4
d6,s5,5
d6,d5,3
d6,d7,4
d7,s1,5
d7,s4,4
d7,s5,3
d7,d6,4
d7,d8,5
d8,s2,4
d8,s3,5
d8,s4,3
d8,d7,5
d8,d1,3
s1,d1,5
s1,d2,4
s1,d3,3
s1,d5,5
s1,d7,4
s2,d1,3
s2,d4,5
s2,d6,4
s2,d8,5
s3,d2,4
s3,d3,5
s3,d5,3
s3,d7,4
s4,d1,5
s4,d4,4
s4,d5,5
s4,d8,3
s5,d2,5
s5,d3,4
s5,d6,5
s5,d7,3
